rid,Name,Time,"Meal (1=B, 2=L/D, 3=S)",Calories,Protein,Fats,Carbs,Tags,Source
1,Stir-friend orange beef,30,2,261,23,9,23,Beef,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
2,Mediterranean Kabobs,25,2,202,18,11,9,Beef,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
3,Beef Casserole,55,2,201,9,5,31,Beef,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
4,Thai-style Chicken Curry,45,2,207,23,7,14,Chicken,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
5,Sweet-and-sour Chicken,30,2,221,23,6,21,Chicken,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
6,Chicken Picadillo,40,2,162,18,5,13,Chicken,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
7,Salmon Tacos,35,2,325,24,11,29,Seafood,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
8,Baked Salmon Dijon,30,2,196,27,7,5,Seafood,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
9,Pork Chops in Warm Cherry Sauce,30,2,374,34,7,31,Pork,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
10,Baked Pork Chops,45,2,216,25,8,10,Pork,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
11,Mushroom Penne,30,2,418,9,10,26,"Pasta, Carbs",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
12,Pasta Caprese,21,2,342,13,10,52,"Pasta, Carbs",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
13,Chicken with Angel Hair Pasta,30,2,452,31,10,66,"Pasta, Carbs, Chicken",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
14,Turkey Bolognese with Shell Pasta,40,2,463,35,9,47,"Pasta, Carbs, Turkey",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
15,Low-fat Macaroni and Cheese,45,2,200,11,4,29,"Pasta, Low fat",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
16,Tuscan Beans with Tomatoes and Oregano,15,2,265,12,10,35,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
17,Caribbean Casserole,20,2,185,7,1,37,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
18,Red beans and Rice,30,2,344,18,5,57,"Vegetarian, Rice",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
19,Corn and Black Bean Burritos,25,2,189,8,3,34,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
20,Lentils with Brown Rice and Kale,40,2,456,21,9,77,"Vegetarian, Rice",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
21,Broccoli with Asian Tofu,40,2,183,14,11,13,"Vegetarian, Tofu",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
22,Buttermilk Corn Pancakes with Bacon,40,1,792,48,35,52,Pork,https://www.bbcgoodfood.com/recipes/buttermilk-corn-pancakes-with-bacon-maple-syrup
23,Corn Casserole,40,1,214,7,5.5,36,Vegetarian,https://fns-prod.azureedge.us/sites/default/files/resource-files/HarvestofRecipes.pdf
